team,conference,SOR_raw,SOR_adj,wins,losses
Texas,sec,0.02272727272727272,0.042682926829268275,1,0
Texas A&M,sec,0.027272727272727264,0.05121951219512193,1,0
Texas State,pac-12,-0.20454545454545459,-0.38414634146341464,0,1
Texas Tech,big 12,0.0,0.0,1,0
Toledo,mid-american,-0.7222222222222222,-1.3563685636856366,0,1
Troy,sun belt,0.13636363636363635,0.2560975609756097,1,0
Tulane,american athletic,-0.2727272727272727,-0.5121951219512194,0,1
Tulsa,american athletic,0.05113636363636363,0.09603658536585363,1,0
UAB,american athletic,-0.5555555555555556,-1.043360433604336,0,1
UCF,big 12,0.0,0.0,1,0
UCLA,big ten,0.213903743315508,0.4017216642754662,1,0
UConn,fbs independents,0.0,0.0,1,0
UL Monroe,sun belt,-0.375,-0.7042682926829268,0,1
UNLV,mountain west,-0.642857142857143,-1.207317073170732,1,1
USC,big ten,0.2727272727272727,0.5121951219512194,2,0
Utah,big 12,0.0,0.0,1,0
Utah State,pac-12,-1.0,-1.8780487804878045,0,1
UTEP,mountain west,-0.26136363636363635,-0.4908536585365853,0,1
UTSA,american athletic,0.0,0.0,1,0
Vanderbilt,sec,0.0,0.0,1,0
Virginia,acc,0.042780748663101616,0.08034433285509326,1,0
Virginia Tech,acc,0.0,0.0,1,0
Wake Forest,acc,0.048951048951048966,0.09193245778611633,1,0
Washington,big ten,0.06818181818181816,0.12804878048780483,1,0
Washington State,pac-12,-0.6666666666666666,-1.252032520325203,0,1
Western Kentucky,conference usa,-0.5909090909090908,-1.1097560975609753,0,1
Western Michigan,mid-american,-0.8333333333333334,-1.565040650406504,0,1
West Virginia,big 12,0.10389610389610389,0.19512195121951215,1,0
Wisconsin,big ten,-0.6818181818181819,-1.2804878048780488,0,1
Wyoming,mountain west,-0.8636363636363636,-1.621951219512195,0,1
