team,conference,N_raw,N_adj,ave_margin,points,wins,losses
Air Force,mountain west,73.17647058823529,0.5476751782316016,34.0,34.0,1,0
Akron,mid-american,-29.25,-0.21891598261709316,-22.0,16.0,0,1
Alabama,sec,22.458333333333332,0.1680850635763721,38.0,48.0,1,0
App State,sun belt,43.54545454545455,0.3259075545410649,52.0,55.0,1,0
Arizona,big 12,26.0,0.19459198454852727,28.0,35.0,1,0
Arizona State,big 12,62.0,0.4640270400772573,63.0,70.0,1,0
Arkansas,sec,12.161290322580644,0.09101883148237565,17.0,31.0,1,0
Arkansas State,sun belt,-22.25,-0.16652583293095122,-18.0,24.0,0,1
Army,american athletic,53.45762711864407,0.4000932980873892,56.0,59.0,1,0
Auburn,sec,-4.823529411764708,-0.03610077541398019,1.0,17.0,1,0
Ball State,mid-american,-103.0,-0.7708836310960888,-53.0,3.0,0,1
Baylor,big 12,-10.25,-0.07671414775470786,-1.0,16.0,0,1
Boise State,pac-12,-17.11111111111111,-0.12806481034390255,-7.0,27.0,0,1
Boston College,acc,-22.333333333333332,-0.16714952518911957,-19.0,15.0,0,1
Bowling Green,mid-american,-31.076923076923077,-0.2325892359692456,-7.0,13.0,0,1
Buffalo,mid-american,2.0,0.014968614196040559,4.0,21.0,1,0
BYU,big 12,48.44444444444444,0.36257309941520466,56.0,63.0,1,0
California,acc,-27.25,-0.20394736842105263,-21.0,24.0,0,1
Central Michigan,mid-american,-31.0,-0.23201352003862866,-31.0,7.0,0,1
Charlotte,american athletic,1.2195121951219523,0.00912720377807352,-2.0,41.0,0,1
Cincinnati,big 12,10.176470588235292,0.076163831056324,19.0,34.0,1,0
Clemson,acc,-56.0,-0.4191211974891356,-41.0,10.0,0,1
Coastal Carolina,sun belt,-15.25,-0.11413568324480926,-7.0,24.0,0,1
Colorado,big 12,2.0,0.014968614196040559,1.0,14.0,1,0
Colorado State,pac-12,20.0,0.14968614196040558,22.0,35.0,1,0
Delaware,conference usa,36.0,0.26943505552873004,35.0,42.0,1,0
Duke,acc,5.176470588235292,0.038742295566222607,14.0,17.0,1,0
East Carolina,american athletic,-51.0,-0.38169966199903427,-38.0,10.0,0,1
Eastern Michigan,mid-american,-4.642857142857145,-0.034748568669379885,2.5,49.0,1,1
Florida,sec,42.72727272727273,0.31978403055177557,45.0,66.0,1,0
Florida Atlantic,american athletic,-45.0,-0.3367938194109126,-45.0,21.0,0,1
Florida International,conference usa,-20.11111111111111,-0.1505177316379634,-10.0,9.0,0,1
Florida State,acc,8.176470588235292,0.061195216860283445,17.0,34.0,1,0
Fresno State,pac-12,-87.0,-0.6511347175277643,-39.0,0.0,0,1
Georgia,sec,60.0,0.44905842588121675,60.0,63.0,1,0
Georgia Southern,sun belt,133.61290322580646,1.0,31.0,31.0,1,0
Georgia State,sun belt,46.45762711864407,0.3477031484012472,49.0,59.0,1,0
Georgia Tech,acc,-52.0,-0.38918396909705455,-1.0,13.0,0,1
Hawai'i,mountain west,-20.075757575757585,-0.15025313492237688,-12.5,33.0,0,2
Houston,big 12,5.424242424242426,0.040596696077140317,13.0,33.0,1,0
Illinois,big ten,9.666666666666668,0.07234830194752938,19.0,42.0,1,0
Indiana,big ten,32.11538461538461,0.24036140103257433,36.0,52.0,1,0
Iowa,big ten,76.0,0.5688073394495412,40.0,40.0,1,0
Iowa State,big 12,24.052631578947366,0.1800172812523825,28.0,38.0,1,0
Jacksonville State,conference usa,0.75,0.00561323032351521,8.0,56.0,1,1
James Madison,sun belt,-8.000000000000002,-0.05987445678416225,7.0,20.0,1,0
Kansas,big 12,43.03921568627451,0.32211870745401006,45.0,51.0,1,0
Kansas State,big 12,62.36619718309859,0.4667677722539971,68.0,71.0,1,0
Kennesaw State,conference usa,101.12765957446808,0.75687046035937,47.0,47.0,1,0
Kent State,mid-american,-106.0,-0.7933365523901497,-57.0,0.0,0,1
Kentucky,sec,29.666666666666668,0.22203444390793498,32.0,45.0,1,0
Liberty,conference usa,-30.076923076923077,-0.22510492887122532,-7.0,13.0,0,1
Louisiana,sun belt,28.052631578947366,0.2099545096444636,31.0,38.0,1,0
Louisiana Tech,sun belt,66.75,0.4995774987928537,74.0,80.0,1,0
Louisville,acc,-16.15789473684211,-0.12093064626801192,-3.0,38.0,0,1
LSU,sec,32.17647058823529,0.24081858721277014,41.0,51.0,1,0
Marshall,sun belt,-95.0,-0.7110091743119266,-45.0,0.0,0,1
Maryland,big ten,104.16129032258064,0.7795750845002414,62.0,62.0,1,0
Massachusetts,mid-american,1.8378378378378404,0.013754942774739992,16.0,37.0,1,0
Memphis,american athletic,6.152173913043476,0.046044758885646485,12.0,69.0,2,0
Miami,acc,35.666666666666664,0.2669402864960566,39.0,45.0,1,0
Miami (OH),mid-american,-44.0,-0.3293095123128923,-45.0,14.0,0,1
Michigan,big ten,3.8461538461538436,0.02878579653084721,1.0,13.0,1,0
Michigan State,big ten,-17.666666666666668,-0.13222275873169162,10.0,30.0,1,0
Middle Tennessee,conference usa,11.842105263157892,0.08862995247655592,24.0,38.0,1,0
Minnesota,big ten,36.59322033898305,0.2738748987224709,52.0,59.0,1,0
Mississippi State,sec,44.16129032258064,0.3305166586190246,49.0,62.0,1,0
Missouri,sec,34.370370370370374,0.2572384069245489,40.0,54.0,1,0
Missouri State,conference usa,-102.0,-0.7633993239980685,-50.0,0.0,0,1
Navy,american athletic,27.0,0.20207629164654756,27.0,42.0,1,0
NC State,acc,-32.25,-0.241368903911154,-26.0,8.0,0,1
Nebraska,big ten,27.0,0.20207629164654756,28.0,49.0,1,0
Nevada,mountain west,38.0,0.2844036697247706,35.0,49.0,1,0
New Mexico,mountain west,17.84210526315789,0.13353579506467758,31.0,38.0,1,0
New Mexico State,conference usa,-4.470588235294118,-0.03345925526173772,10.0,68.0,1,1
North Carolina,acc,-22.666666666666668,-0.169644294221793,5.0,15.0,1,0
North Dakota State,mountain west,11.077464788732392,0.08290714834637956,32.0,71.0,2,0
Northern Illinois,mountain west,-91.0,-0.6810719459198454,-40.0,0.0,0,1
North Texas,american athletic,-63.125,-0.4724468855625301,-36.0,16.0,0,1
Northwestern,big ten,6.176470588235292,0.04622660266424288,16.0,34.0,1,0
