name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
big ten,True,49.039855072463766,12.391304347826088,0.7982895900914184,
sec,True,52.3695652173913,13.855072463768115,0.7907867381551592,
big 12,True,37.2463768115942,11.659420289855072,0.7615943102681879,
acc,True,44.369565217391305,26.64855072463768,0.6247640426508851,
fbs independents,False,16.72101449275362,5.195652173913043,0.762936022483055,
american athletic,False,34.97826086956522,21.58695652173913,0.6183704842428901,
mountain west,False,25.05072463768116,24.184782608695652,0.5087938774008389,
sun belt,False,27.318840579710145,29.97826086956522,0.4767927153155432,
conference usa,False,20.58695652173913,28.64855072463768,0.4181323129001398,
pac-12,False,6.329710144927536,12.927536231884059,0.328692380056444,
mid-american,False,15.989130434782608,35.11231884057971,0.31288996029495175,
